"","subject","filename","word","vowel","start","end","duration","f0_20","f0_50","f0_80","f1_20","f1_40","f1_50","f1_60","f1_80","f2_20","f2_40","f2_50","f2_60","f2_80","f3_20","f3_40","f3_50","f3_60","f3_80","Analyst","Date","Settings","Praat.Version","OS","group","language","time","age","sex","city","country","education","history_welsh","history_other","use_welsh","use_other","proficiency_welsh","proficiency_other","attitudes_welsh","attitudes_other","score_welsh","score_other","dominance","hz.max","f1_norm","f2_norm","f3_norm","syll_type2","unpred","length"
"123","ar_002","welsh_002_production_w_20171102","ffon","o",129.270389668602,129.471934163495,201.544494893141,158.021951662737,160.263853552523,133.55716220454,643.116170696497,604.452493150871,625.663659615518,651.287111682183,650.868182374785,767.950643266942,841.953795272479,854.949302785579,882.467332826911,949.714123321884,2670.7470121135,2804.88447025679,2803.38127710242,2861.26148743605,2666.74826444519,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.660126879862743,-0.347897649423204,0.839641744952975,"short","unpredictable","short"
"124","ar_002","welsh_002_production_w_20171102","ffon","o",132.42948671931,132.647353846682,217.867127372045,166.243832790962,188.474580019824,187.770870192885,703.444382439336,745.974773072543,804.058523324869,713.635789545136,741.069092048712,929.611860785485,875.004287622878,864.498072951051,938.620085261257,1128.35251014346,2669.19356492989,2824.82916698751,2825.53027223027,2884.08787524905,2783.03135590727,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.409267764879371,-0.336790745584205,0.847511511335636,"short","unpredictable","short"
"125","ar_002","welsh_002_production_w_20171102","ffon","o",136.379407953026,136.622267210302,242.859257276222,170.924539771965,180.063174572749,172.734302166338,686.480522305269,649.673675263515,693.213987406946,711.154081541746,682.872345416921,940.832767896861,889.142779581565,898.652659258818,908.116012117352,1066.92116521289,2659.03368650596,2709.49138208197,2735.67807370795,2769.60632954333,2672.17155417371,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.557601085951419,-0.298043225249879,0.815194787086834,"short","unpredictable","short"
"126","ar_002","welsh_002_production_w_20171102","ffon","o",140.323815030774,140.527195250029,203.380219255649,168.527908276343,191.089289694755,204.976686515501,657.888779233739,649.362159897424,621.048090167613,602.791966944821,601.36981760193,904.369423927404,916.093525429795,946.829586199454,972.388624732762,1072.40851674911,2594.02715301972,2633.42693357933,2763.40191939464,2850.43132403702,2678.33052685884,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.667531302795719,-0.245820695836342,0.82527795758521,"short","unpredictable","short"
"127","ar_002","welsh_002_production_w_20171102","tan","a",143.248399446358,143.449337726757,200.93828039873,162.35097921264,150.428176320591,NA,812.252629157152,853.408349734331,837.548793791161,819.894327724153,731.302458676548,1419.76053348215,1449.8300488394,1452.55469711432,1454.07673915961,1488.93512474482,2720.03640446291,2752.46332838698,2808.17440889022,2853.17463429612,2798.01632735118,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.368460298369042,0.182139323624294,0.841350053030688,"short","unpredictable","short"
"128","ar_002","welsh_002_production_w_20171102","tan","a",146.022338584556,146.20123798539,178.899400833614,171.614237790804,175.0783966453,159.899300960835,825.906157647805,836.859405010257,818.392462631747,826.215503739761,775.308148873115,1501.7945187183,1443.42436326775,1452.45189337102,1531.57872037796,1573.61939329903,2581.84314964965,2585.65951777433,2658.72607495459,2653.17442889441,2702.98057954361,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.391597816902322,0.182068546681013,0.786662546252996,"short","unpredictable","short"
"130","ar_002","welsh_002_production_w_20171102","tan","a",153.381040793128,153.656242630385,275.201837256645,180.059148968398,196.830406040815,176.447272411596,848.543002136051,841.411987401079,863.583196491851,909.634541218754,814.174749736186,1424.7644622443,1380.3418768957,1391.60373574475,1446.59761878797,1536.57565035324,2725.50891632776,2523.05384276886,2535.12850436704,2843.81129602089,2874.32911819401,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.337849580675877,0.139272306155947,0.739059785184168,"short","unpredictable","short"
"131","ar_002","welsh_002_production_w_20171102","llen","e",156.413059904941,156.539321313397,126.261408456571,156.985755792915,145.241514102003,130.012492089154,630.705576217485,593.948533450347,566.739520544443,578.953509526341,563.747503087545,1865.20599744504,1917.51869038965,1914.27160924329,1920.38201658159,1902.85999522852,2603.29085506247,2609.34825665676,2662.55932168217,2681.81073071466,2710.38992990153,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.759040022835316,0.458152646936479,0.788103268599162,"short","unpredictable","short"
"132","ar_002","welsh_002_production_w_20171102","llen","e",159.633248432706,159.813745307251,180.496874545127,166.727024653492,157.439534397211,144.012791648032,570.249012277788,588.906438738962,605.179557880693,612.661563656909,584.625810828682,1884.43218677297,1870.00883140164,1876.2379709843,1861.58468793327,1849.36150629055,2530.23274816638,2761.66576607177,2800.47786627758,2536.64254807781,2772.47641505292,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.693414617731442,0.438084150111893,0.838605526514807,"short","unpredictable","short"
"133","ar_002","welsh_002_production_w_20171102","llen","e",163.810685405173,163.965314560223,154.629155049548,147.308361385649,139.474698965092,139.313172375985,494.485369815418,564.324244393977,584.089307181665,605.257744186359,562.88537781907,1899.60066014028,1914.89591083755,1908.75526719965,1886.88550638752,1861.09440774793,2732.29290007373,2664.14983259251,2661.19752332938,2670.69613691694,2732.17321274406,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.728885927221387,0.455266794416823,0.787591675593645,"short","unpredictable","short"
