subject,word,vowel,start,end,duration,f0_20,f0_50,f0_80,f1_20,f1_40,f1_50,f1_60,f1_80,f2_20,f2_40,f2_50,f2_60,f2_80,f3_20,f3_40,f3_50,f3_60,f3_80,age,sex,f1_norm,f2_norm,f3_norm,v_length
ar_003,tw:n,u,108.1779616,108.2908283,112.8666821,150.7548927,144.7425164,132.6442841,388.2698528,388.9624476,386.3190183,355.6195657,287.2684853,1535.011524,1499.003128,1506.28134,1517.039533,1553.489729,2338.18967,2306.209909,2321.278239,2253.108544,2296.377401,26,M,-1.148082965,0.212652738,0.645126813,long
ar_003,tw:n,u,111.7511965,111.9645499,213.3533729,130.1138819,121.8893149,113.2624557,374.1649444,421.5349395,446.6220662,447.1469088,427.147576,1581.097382,1584.353884,1569.142615,1549.830712,1455.059921,2614.666407,2627.281635,2611.059507,2621.045169,2617.062536,26,M,-1.003033718,0.253538179,0.762764894,long
ar_003,tw:n,u,115.9521701,116.0930238,140.853726,144.6414615,129.3060611,112.0207277,408.1313367,383.4186756,359.360867,363.1120541,393.9342892,1608.212485,1522.017371,1504.982464,1499.801549,1466.188483,2553.199271,2408.810173,2421.674297,2433.754594,2387.218844,26,M,-1.220419381,0.21179006,0.687467973,long
ar_003,tw:n,u,120.9406653,121.113572,172.9067571,142.8158243,132.7160784,109.1914624,397.9637871,397.5314168,369.7457869,399.1153792,377.3472171,1476.760409,1390.312719,1369.060381,1377.285441,1368.491037,2234.152728,2231.596563,2163.666451,2052.560303,2136.129514,26,M,-1.191930758,0.117133465,0.574813027,long
ar_003,ffo:n,o,615.9749984,616.2710549,296.0565454,112.2175958,111.441158,108.8363035,463.4414498,459.5528928,451.0063308,458.953327,446.1030744,756.9166088,720.604532,713.318929,758.3312842,872.3709354,2737.478032,2745.359254,2731.49106,2728.451571,2732.064876,26,M,-0.993265089,-0.534817839,0.80785645,long
ar_003,ffo:n,o,618.2898404,618.5963456,306.5051548,109.2966776,110.5783377,111.4968932,468.4654744,454.2854128,452.2243896,451.6305675,470.7415009,793.968433,816.0934039,834.1447255,859.8365961,849.3964427,2676.515289,2655.275532,2640.753024,2609.939376,2650.749462,26,M,-0.990567972,-0.378339546,0.774072927,long
ar_003,ffo:n,o,621.4110908,621.6709831,259.8923057,108.7738572,110.6900888,110.9389225,506.6030279,503.6995396,480.0312278,485.0727877,522.2561129,846.6464096,798.7366669,826.2800767,848.2603548,965.982074,2649.216863,2625.871048,2336.821542,2494.972692,2439.795264,26,M,-0.930895306,-0.387812673,0.651800504,long
ar_003,ffo:n,o,624.8426534,625.1080319,265.3784938,112.273282,112.5385174,114.9969849,446.9214322,455.2085421,458.1239623,464.3383758,488.8463733,871.8946143,833.9583766,836.3796113,816.9461253,944.4925841,2593.055179,2510.49791,2553.552362,2525.051661,2548.623643,26,M,-0.977606658,-0.375663875,0.740494286,long
ar_003,llen,e,659.1151097,659.2344159,119.3061851,126.4540447,128.8873635,124.0562666,534.7153551,565.7287916,541.2694471,508.6429674,478.3771181,1540.686658,1659.960752,1688.595418,1760.645535,1816.087352,2254.33701,2429.877842,2502.394476,2607.064131,2659.753043,26,M,-0.810829257,0.326905884,0.720256878,short
ar_003,llen,e,661.3131148,661.5039799,190.8651182,119.3571569,112.1904356,110.6360646,446.834609,555.2043795,573.2344651,575.8918537,545.5432458,1482.958685,1709.547935,1727.36252,1762.077985,1735.630165,2290.873294,2353.392417,2524.214594,2578.402863,2613.793948,26,M,-0.753451644,0.349604504,0.728938776,short
ar_003,llen,e,664.85139,665.032748,181.3579722,117.5513061,111.5345032,112.5998851,566.7223265,558.8602523,546.5637019,516.7886045,505.8680743,1488.993579,1602.181518,1664.512502,1692.191883,1769.853521,2289.790124,2327.759056,2671.622463,2676.062837,2698.243867,26,M,-0.801095601,0.312541103,0.785694765,short
ar_003,llen,e,667.9774275,668.1810034,203.5758299,117.0701149,111.1026331,110.6249633,429.0888971,537.6301559,524.591333,521.5413625,494.7716489,1459.597574,1709.524267,1739.260481,1752.328592,1712.033469,2411.502773,2518.57655,2524.338844,2573.985186,2684.271905,26,M,-0.842126919,0.356468826,0.728987998,short
ar_003,cy:n,?,799.0129249,799.087169,74.24412962,141.0887253,136.8330868,130.0028646,378.9171318,398.049987,389.0673305,373.6543177,323.800769,1702.396443,1645.823232,1642.068388,1653.06955,1600.644986,2308.784398,2329.523472,2353.770932,2407.951561,2391.415364,26,M,-1.140994051,0.298965473,0.659027508,long
ar_003,cy:n,?,801.7840286,801.8982488,114.2201761,118.1599319,110.4213811,110.7039615,394.0229635,438.0092779,444.1306076,437.1533632,426.4659478,1796.276566,1762.69284,1766.020391,1787.056761,1739.85764,2367.984945,2411.188146,2451.625879,2529.245583,2642.928691,26,M,-1.008627785,0.371737462,0.699760242,long
ar_003,cy:n,?,805.1971844,805.2669256,69.74122916,122.6420557,112.8404299,110.4532351,374.6223197,419.6834471,416.8360614,415.1223485,406.5132005,1947.072236,1970.154111,1977.11004,1976.014398,1975.402755,2631.843757,2662.362016,2672.987835,2688.031968,2721.572394,26,M,-1.072053459,0.484645016,0.7862057,long
ar_003,cy:n,?,808.7933572,809.0700496,276.692415,120.8246545,107.1688274,105.9365896,392.3891721,434.5796248,425.4620868,413.9860595,407.6408421,1934.500223,1988.078061,1924.788874,1759.99806,1899.230852,2496.51222,2635.60224,2578.258368,2588.711379,2679.141992,26,M,-1.051570624,0.457825099,0.750122933,long
ar_003,pi:n,i,844.63301,844.7695902,136.5802571,129.1618078,123.1302118,120.7991564,356.7905497,346.244173,337.928104,329.0192972,332.8431856,1990.477725,2007.622503,2025.249351,2123.00402,2254.58244,2689.288127,2727.994527,2720.479915,2547.611611,2838.395235,26,M,-1.281913303,0.508701643,0.803817118,long
ar_003,pi:n,i,846.6807595,846.8550263,174.2667558,121.8112652,112.9639349,106.8505552,360.6726754,373.2637392,411.1402256,416.9472532,378.2789406,2112.268532,2296.446148,2265.833582,2252.976349,2279.662146,2261.072887,2919.037696,2907.821884,2934.929373,2944.769379,26,M,-1.085812127,0.620951532,0.870413121,long
ar_003,pi:n,i,849.7239429,849.9581657,234.2228388,122.5947335,111.7092452,108.0352659,348.5966635,338.8881913,354.4772621,380.4090536,378.9784227,1963.75658,2091.399268,2130.977517,2133.386888,2172.694406,2649.464731,2776.099512,2523.623499,2815.550873,2939.350571,26,M,-1.234102262,0.559589616,0.728704579,long
ar_003,pi:n,i,853.0861995,853.3016649,215.4653759,122.4141847,116.4672218,109.937739,353.0011009,373.3806746,400.6100804,425.7149439,402.9134068,1884.970968,2081.318245,2165.657583,2099.644368,2074.39888,2450.830633,2915.277786,2805.886623,2773.308733,2884.581139,26,M,-1.111757879,0.575732862,0.834728389,long
ar_003,ta:n,a,569.1120112,569.4012049,289.1936923,109.1672261,115.7144695,118.2296357,747.1193742,784.559399,783.8451422,761.8909215,820.6117645,1471.182608,1450.006411,1442.03904,1422.988969,1461.708531,2453.814613,2692.500971,2611.087632,2636.956509,2604.52914,26,M,-0.440534987,0.169066926,0.762775665,long
ar_003,ta:n,a,572.2245176,572.5100032,285.4856051,116.0299798,112.2912073,115.7243471,728.8424931,747.0407996,732.3391696,701.6465186,738.7755581,1477.881237,1440.519772,1422.209132,1405.132032,1489.837213,2766.522506,2688.127968,2716.894528,2728.003998,2847.423921,26,M,-0.508502712,0.155220203,0.802498324,long
